Connexion,Moyenne_Generale,Difference_Groupe_Beta,Probabilite_Posterior_Pp,Significatif_95
"B(1,4,4)",-0.8615781683071233,-0.9239333535547043,1.0,True
"B(1,3,4)",0.8492138109006201,0.6018397039204919,1.0,True
"B(2,4,4)",0.27904075844298903,-0.3583283260461841,1.0,True
"A(2,4)",7.753231803495436e-07,0.2515149417317699,1.0,True
"B(2,6,5)",9.506607267659683e-07,-0.20029740706558008,0.7672138475915222,False
"A(1,3)",-0.0974571014000485,-0.1399353197265143,1.0,True
"A(5,5)",-0.38940169087391885,-0.13434643889875073,1.0,True
"A(1,1)",-1.6261419821813765,-0.04571948459228541,0.6172968610197218,False
"A(2,6)",-4.4347525497612954e-07,0.03167629664098154,0.6247400111725121,False
"B(2,3,3)",-7.365095127138149e-08,1.9201200728701794e-06,0.0,False
"B(2,6,2)",-5.388183593584882e-07,1.513298773877162e-06,0.0,False
"B(2,6,1)",6.992252491310499e-07,-1.374428637098583e-06,0.0,False
"B(1,2,2)",-1.3473204437361524e-07,1.3135618818248025e-06,0.0,False
"B(1,3,3)",2.759636542731482e-06,1.1490482797412204e-06,0.0,False
"B(2,1,1)",-5.448285617914982e-07,1.1366796557198283e-06,0.0,False
"B(3,4,4)",0.6048882351989503,1.0472697179104377e-06,0.0,False
"A(6,6)",0.08058347674962536,-9.382974596471144e-07,0.0,False
"A(2,2)",-0.9958946556820171,-8.439223872381611e-07,0.0,False
"B(1,5,1)",4.353222337758513e-07,7.802837140028176e-07,0.0,False
"B(2,4,3)",1.0148693781777836e-06,7.065152668984273e-07,0.0,False
"B(4,3,3)",1.4116693479628642e-07,6.981758389218913e-07,0.0,False
"B(1,2,4)",1.601376098856604e-06,-6.895174482849147e-07,0.0,False
"B(1,6,2)",-2.447263217063149e-06,6.852019158717871e-07,0.0,False
"A(1,5)",-0.03504808966321591,6.364434443044119e-07,0.0,False
"A(3,3)",-0.47137658258699594,-6.272088822371648e-07,0.0,False
"B(5,6,6)",1.5107993242956256e-06,-4.306313789340297e-07,0.0,False
"B(6,5,5)",1.2258008226912074,-3.466186955374125e-07,0.0,False
"B(1,5,2)",-1.2617019519424238e-06,-3.388508428873001e-07,0.0,False
"B(2,1,3)",-4.0971833624975406e-08,3.2525409449742074e-07,0.0,False
"B(1,5,6)",1.0416312169031134e-06,3.0562260027973736e-07,0.0,False
"B(3,4,8)",-1.7543169458208237e-06,-2.4577109273006463e-07,0.0,False
"B(5,6,2)",0.6393961180402875,2.2923172585471856e-07,0.0,False
"B(6,5,1)",-1.5294440020731787e-07,-2.1691497028117082e-07,0.0,False
"B(2,4,7)",-4.0572469037251517e-07,-1.0904227386322132e-07,0.0,False
"A(4,4)",-0.14311357185487344,-1.0212177943751757e-07,0.0,False
"B(2,5,1)",-1.3276294509413023e-06,-9.377017874152586e-08,0.0,False
"B(4,3,7)",3.318536952033313e-08,-9.057542965952572e-08,0.0,False
"B(1,3,8)",2.090874819142171e-06,1.4521720637453692e-08,0.0,False
